订单日期,产品名称,顾客姓名,订单单号,区域,目的省份,目的城市,快递公司,产品类别,产品子类别,销售数量,销售金额,收款方式
2017/3/2,肉松青豆120g,Lena Cacioppo,10021247876,华东,安徽省,蚌埠市,圆通,坚果炒货,特惠炒货,29,188.094,应收账款
2017/5/19,小米锅巴（麻辣味）90g,Alejandro Ballentine,10021247909,华南,广东省,佛山市,圆通,坚果炒货,特惠炒货,46,227.7,应收票据
2017/7/16,原生碧根果218g,Fred McMath,10021247974,华南,河南省,三门峡市,圆通,坚果炒货,果果仁仁,35,668.64,应收票据
2017/7/24,野山小核桃仁160g,Evan Minnotte,10021248082,华北,山西省,晋城市,圆通,坚果炒货,果果仁仁,48,2596.608,应收账款
2016/2/12,精装纸皮核桃380g,Olvera Toch,10021248111,华北,北京市,北京市,中通,坚果炒货,磕壳坚果,1,38.703,应收账款
2017/2/17,小米锅巴孜然味90g,Michelle Ellison,10021248134,华北,山西省,忻州市,顺丰,坚果炒货,特惠炒货,18,81.9,应收账款
2017/2/10,盐焗扁核仁210g,Justin Ellison,10021248136,华南,广西省,北海市,圆通,坚果炒货,果果仁仁,5,140.53,应收票据
2016/9/20,盐焗扁核仁210g,Sung Chung,10021248150,华南,广西省,南宁市,中通,坚果炒货,果果仁仁,41,1103.31,应收票据
2017/11/18,椰香玉米65g*5,Todd Boyes,10021248157,华南,广西省,南宁市,圆通,坚果炒货,特惠炒货,41,411.148,应收票据
2017/10/1,精装纸皮核桃380g,Dennis Pardue,10021248158,华北,河北省,张家口市,顺丰,坚果炒货,磕壳坚果,45,1651.86,应收账款
2016/9/10,沙拉薯条150g,Anna Andreadi,10021248161,华南,广西省,防城港市,顺丰,坚果炒货,特惠炒货,24,159.6,应收票据
2017/10/30,爆米花（奶油味）118g,Max Engle,10021248173,华北,河北省,保定市,顺丰,坚果炒货,特惠炒货,8,65.504,应收账款
2016/3/18,良品山核桃椒盐味238g,Thomas Boland,10021248219,华东,浙江省,湖州市,申通,坚果炒货,磕壳坚果,19,465.101,应收账款
2016/2/20,小米锅巴（麻辣味）90g,Bobby Elias,10021248304,华南,广西省,百色市,中通,坚果炒货,特惠炒货,31,141.05,应收票据
2017/5/9,鱼骨青豆80g,Deanra Eno,10021248313,西南,四川省,眉山市,EMS,坚果炒货,特惠炒货,19,180.576,预付账款
2017/11/1,原味松子218g,Amy Hunt,10021248389,华南,广西省,钦州市,顺丰,坚果炒货,果果仁仁,5,120.435,应收票据
2017/4/20,黑珍珠葵瓜子110g,Erica Hackney,10021248396,华东,浙江省,温州市,圆通,坚果炒货,磕壳坚果,41,186.55,应收账款
2016/9/20,自然开心果210g,Sung Chung,10021248397,华东,上海市,上海市,中通,坚果炒货,磕壳坚果,26,1232.53,预付账款
2016/4/16,精装纸皮核桃380g,Keith Dawkins,10021248412,华北,北京市,北京市,顺丰,坚果炒货,磕壳坚果,37,1446.774,应收账款
2017/5/29,烘烤薯片原味98g,Ashley Jarboe,10021248415,华南,广西省,北海市,顺丰,坚果炒货,果果仁仁,49,460.845,应收票据
2017/6/1,甘栗仁80g,Roy French,10021248458,华北,内蒙古,呼和浩特市,中通,坚果炒货,果果仁仁,37,255.3,应收账款
2017/4/11,盐焗腰果180g,Ricardo Block,10021248468,华南,河南省,郑州市,圆通,坚果炒货,果果仁仁,29,542.474,应收票据
